fecha,tmax,tmin,tmed,prec,velmedia,racha,presMax,presMin,hrMedia,sol
2026-01-01,3.0,-4.3,-0.6,0.4,0.8,5.6,,,97.0,
2026-01-02,12.6,2.4,7.5,0.6,4.7,8.9,,,80.0,
2026-01-03,11.3,4.7,8.0,0.2,4.2,7.2,,,86.0,
2026-01-04,6.2,-2.4,1.9,0.4,4.2,9.7,,,82.0,
2026-01-05,2.1,-4.0,-1.0,1.2,2.5,11.9,,,71.0,
2026-01-06,4.4,-5.5,-0.6,0.0,1.4,8.3,,,71.0,
2026-01-07,6.5,-4.0,1.2,0.2,4.2,8.9,,,91.0,
2026-01-08,7.7,-0.2,3.8,1.2,5.3,15.8,,,88.0,
2026-01-09,9.2,0.1,4.6,0.0,7.8,16.7,,,76.0,
2026-01-10,7.4,-1.7,2.8,0.0,3.3,6.7,,,83.0,
2026-01-11,10.8,-0.2,5.3,0.0,3.1,6.4,,,86.0,
2026-01-12,11.9,1.3,6.6,0.0,3.9,11.7,,,79.0,
2026-01-13,10.5,4.9,7.7,2.6,7.5,16.1,,,75.0,
2026-01-14,10.6,2.7,6.6,0.0,1.7,5.3,,,84.0,
2026-01-15,8.1,0.7,4.4,10.2,5.8,13.1,,,88.0,
2026-01-16,7.7,3.8,5.8,5.0,1.9,6.4,,,90.0,
2026-01-17,3.9,-0.8,1.6,5.4,2.2,6.1,,,98.0,
2026-01-18,1.8,-3.3,-0.8,16.4,0.8,3.3,,,97.0,
2026-01-19,7.2,0.2,3.7,0.0,1.7,8.1,,,93.0,
2026-01-20,7.1,-1.6,2.8,0.2,1.7,6.4,,,93.0,
2026-01-21,11.4,4.1,7.8,3.2,8.3,20.3,,,85.0,
2026-01-22,7.4,2.0,4.7,1.2,7.5,14.7,,,83.0,
2026-01-23,7.6,0.1,3.8,1.8,7.8,18.1,,,82.0,
2026-01-24,4.4,-0.5,2.0,0.0,7.8,14.4,,,85.0,
2026-01-25,9.8,2.0,5.9,0.2,12.2,23.6,,,76.0,
2026-01-26,11.2,3.5,7.4,10.4,7.8,19.7,,,87.0,
2026-01-27,10.0,1.4,5.7,6.8,6.1,21.1,,,90.0,
2026-01-28,5.1,0.0,2.6,17.6,5.0,12.2,,,95.0,
2026-01-29,10.9,4.0,7.4,3.2,7.5,18.1,,,92.0,
2026-01-30,9.0,1.9,5.4,8.6,8.6,17.5,,,81.0,
2026-01-31,9.2,1.7,5.4,0.2,7.5,17.5,,,80.0,
2026-02-01,10.6,4.1,7.4,8.8,3.6,10.3,,,96.0,
2026-02-02,9.2,2.9,6.0,5.0,6.4,21.4,,,86.0,
2026-02-03,7.7,2.0,4.8,6.0,6.4,13.3,,,83.0,
2026-02-04,11.1,2.3,6.7,5.6,10.6,18.6,,,85.0,
2026-02-05,11.1,5.4,8.2,10.2,11.1,21.9,,,91.0,
2026-02-06,8.8,1.7,5.2,0.2,5.3,14.2,,,83.0,
2026-02-07,6.5,1.6,4.0,2.8,6.9,16.7,,,86.0,
2026-02-08,8.5,2.2,5.4,5.2,6.1,15.0,,,81.0,
2026-02-09,11.5,3.9,7.7,1.2,6.9,14.2,,,93.0,
2026-02-10,14.5,10.0,12.2,3.6,8.6,16.9,,,91.0,
2026-02-11,14.9,8.3,11.6,0.0,10.6,23.9,,,88.0,
2026-02-12,10.6,5.1,7.8,16.2,8.1,17.5,,,75.0,
2026-02-13,9.8,2.7,6.2,0.6,9.7,22.2,,,84.0,
2026-02-14,8.9,0.1,4.5,0.0,6.1,16.1,,,57.0,
2026-02-15,9.2,-0.7,4.2,0.0,7.2,14.2,,,86.0,
2026-02-16,13.4,7.1,10.2,0.0,11.7,18.6,,,85.0,
2026-02-17,14.5,6.5,10.5,0.0,6.9,11.9,,,78.0,
2026-02-18,12.6,4.7,8.6,0.8,7.2,20.8,,,84.0,
2026-02-19,9.5,0.4,5.0,0.0,6.1,12.8,,,71.0,
2026-02-20,12.2,-1.0,5.6,0.0,0.8,4.7,,,67.0,
