fecha,tmax,tmin,tmed,prec,velmedia,racha,presMax,presMin,hrMedia,sol
2010-01-01,6.7,-1.1,2.8,4.2,1.1,9.7,,,87.0,
2010-01-02,5.2,0.3,2.8,6.0,1.4,8.1,,,93.0,
2010-01-03,7.1,0.9,4.0,5.2,1.4,9.2,,,100.0,
2010-01-04,6.6,0.8,3.7,0.6,1.1,5.6,,,97.0,
2010-01-05,7.4,-1.0,3.2,0.0,1.4,7.2,,,85.0,
2010-01-06,7.2,-3.6,1.8,0.2,1.1,5.3,,,72.0,
2010-01-07,4.9,-4.7,0.1,0.0,3.9,15.3,,,65.0,
2010-01-08,2.7,-5.6,-1.4,0.0,4.4,13.9,,,69.0,
2010-01-09,2.9,-6.3,-1.7,0.0,3.6,10.3,,,66.0,
2010-01-10,0.7,-10.1,-4.7,0.0,0.3,5.3,,,87.0,
2010-01-11,5.3,-7.3,-1.0,1.6,1.1,3.9,,,82.0,
2010-01-12,7.2,-1.4,2.9,7.8,2.5,13.1,,,94.0,
2010-01-13,3.5,-0.1,1.7,15.2,1.4,6.4,,,97.0,
2010-01-14,7.2,1.8,4.5,0.6,5.0,22.8,,,81.0,
2010-01-15,4.4,-1.4,1.5,0.4,1.4,3.9,,,94.0,
2010-01-16,9.5,1.2,5.4,1.8,1.7,12.2,,,91.0,
2010-01-17,7.4,4.1,5.8,3.4,0.8,3.3,,,97.0,
2010-01-18,6.7,4.7,5.7,1.2,0.8,3.6,,,99.0,
2010-01-19,13.5,2.6,8.0,0.4,2.2,7.5,,,83.0,
2010-01-20,8.2,2.3,5.2,0.2,1.7,8.3,,,86.0,
2010-01-21,7.8,0.2,4.0,0.0,0.8,5.3,,,90.0,
2010-01-22,6.8,4.2,5.5,1.8,0.8,3.3,,,95.0,
2010-01-23,8.5,4.6,6.6,1.4,1.1,3.6,,,95.0,
2010-01-24,11.0,-1.3,4.8,0.0,4.2,9.7,,,74.0,
2010-01-25,9.3,-3.6,2.8,0.0,1.9,9.7,,,65.0,
2010-01-26,11.5,-2.7,4.4,0.0,3.1,10.8,,,58.0,
2010-01-27,5.6,-3.6,1.0,0.0,6.7,18.6,,,61.0,
2010-01-28,12.9,-5.8,3.6,0.0,1.9,7.8,,,49.0,
2010-01-29,8.9,0.8,4.8,0.0,3.6,12.5,,,73.0,
2010-01-30,9.1,1.8,5.4,0.0,5.0,12.8,,,72.0,
2010-01-31,8.5,0.4,4.4,0.0,4.2,11.4,,,74.0,
2010-02-01,10.7,-3.6,3.6,0.0,1.9,6.4,,,56.0,
2010-02-02,10.1,-5.9,2.1,0.0,0.8,4.4,,,68.0,
2010-02-03,9.5,-5.2,2.2,0.0,0.8,,,,74.0,
2010-02-04,6.6,1.6,4.1,4.6,1.7,17.8,,,91.0,
2010-02-05,9.9,0.8,5.4,0.8,4.4,15.3,,,75.0,
2010-02-06,11.5,2.9,7.2,0.0,2.8,12.2,,,78.0,
2010-02-07,8.0,1.5,4.8,2.0,1.4,4.7,,,91.0,
2010-02-08,11.2,3.8,7.5,0.4,3.3,10.8,,,85.0,
2010-02-09,9.9,-4.2,2.8,0.0,5.6,11.9,,,66.0,
2010-02-10,4.1,-5.9,-0.9,0.0,0.6,5.0,,,77.0,
2010-02-11,4.9,-5.5,-0.3,0.0,4.2,10.8,,,59.0,
2010-02-12,7.0,-7.7,-0.4,0.0,2.8,10.3,,,67.0,
2010-02-13,6.5,-7.1,-0.3,0.0,4.4,10.0,,,61.0,
2010-02-14,3.8,-7.4,-1.8,0.0,1.9,6.4,,,71.0,
2010-02-15,6.6,-4.5,1.0,0.0,1.9,8.3,,,68.0,
2010-02-16,6.6,-1.0,2.8,1.2,0.8,3.9,,,82.0,
2010-02-17,8.2,1.2,4.7,0.2,1.4,9.7,,,90.0,
2010-02-18,6.8,-1.6,2.6,0.0,1.7,5.8,,,81.0,
2010-02-19,8.2,-2.1,3.0,0.0,3.3,10.3,,,67.0,
2010-02-20,9.5,-0.9,4.3,0.0,2.8,13.1,,,63.0,
2010-02-21,11.7,-0.5,5.6,5.2,2.5,12.5,,,89.0,
2010-02-22,11.2,3.3,7.2,8.4,4.2,13.6,,,85.0,
2010-02-23,9.2,2.2,5.7,8.0,1.7,9.7,,,89.0,
2010-02-24,9.6,2.1,5.8,19.4,1.1,16.1,,,81.0,
2010-02-25,12.2,2.1,7.2,9.8,6.1,27.5,,,80.0,
2010-02-26,10.1,0.6,5.4,5.8,2.5,9.2,,,74.0,
2010-02-27,12.0,3.5,7.8,26.2,10.6,25.0,,,95.0,
2010-02-28,9.3,1.9,5.6,4.6,2.2,12.5,,,77.0,
2010-03-01,11.3,-0.4,5.4,0.2,3.3,16.4,,,70.0,
2010-03-02,12.2,-0.6,5.8,1.6,1.7,8.3,,,72.0,
2010-03-03,6.8,3.9,5.4,4.0,0.8,4.7,,,92.0,
2010-03-04,15.9,2.4,9.2,0.0,1.7,6.1,,,66.0,
2010-03-05,7.1,2.3,4.7,4.2,3.1,9.7,,,65.0,
2010-03-06,5.8,0.2,3.0,7.2,2.5,8.9,,,94.0,
2010-03-07,4.7,-1.3,1.7,5.6,0.6,8.6,,,93.0,
2010-03-08,5.2,-5.2,0.0,0.0,2.8,,,,59.0,
2010-03-09,8.3,-4.8,1.8,0.0,5.3,12.2,,,47.0,
2010-03-10,8.6,-7.6,0.5,0.0,5.6,11.4,,,51.0,
2010-03-11,6.4,-6.6,-0.1,0.0,2.5,9.2,,,61.0,
2010-03-12,10.1,-5.8,2.2,0.0,3.6,8.9,,,55.0,
2010-03-13,10.4,-5.1,2.6,0.2,3.9,11.9,,,63.0,
2010-03-14,12.0,-3.8,4.1,0.2,1.9,6.1,,,56.0,
2010-03-15,15.1,-5.6,4.8,0.0,1.7,5.3,,,49.0,
2010-03-16,15.3,-3.3,6.0,0.0,0.8,5.8,,,34.0,
2010-03-17,16.5,-1.9,7.3,0.0,3.1,10.6,,,44.0,
2010-03-18,15.9,6.6,11.2,0.8,3.9,9.4,,,69.0,
2010-03-19,14.3,8.9,11.6,10.2,5.3,14.2,,,86.0,
2010-03-20,16.3,7.0,11.6,4.8,3.3,13.3,,,74.0,
2010-03-21,16.6,4.8,10.7,0.2,1.4,6.4,,,72.0,
2010-03-22,18.1,3.9,11.0,0.0,1.9,7.5,,,70.0,
2010-03-23,14.5,2.1,8.3,12.6,2.5,15.0,,,85.0,
2010-03-24,11.9,4.8,8.4,2.6,6.4,12.8,,,85.0,
2010-03-25,10.6,2.0,6.3,0.8,4.7,16.4,,,72.0,
2010-03-26,9.6,-0.2,4.7,0.4,3.3,16.4,,,74.0,
2010-03-27,13.2,3.5,8.4,0.0,3.1,10.3,,,56.0,
2010-03-28,15.1,2.3,8.7,0.0,2.5,8.6,,,70.0,
2010-03-29,12.2,2.3,7.2,4.0,5.0,18.1,,,83.0,
2010-03-30,10.9,3.3,7.1,0.0,6.4,,,,69.0,
2010-03-31,11.4,1.5,6.4,1.2,5.6,17.5,,,68.0,
2010-04-01,11.4,-0.6,5.4,0.0,3.1,10.3,,,63.0,
2010-04-02,11.2,0.2,5.7,0.8,3.3,11.1,,,82.0,
2010-04-03,11.6,2.9,7.2,0.2,5.0,15.0,,,65.0,
2010-04-04,13.3,-0.1,6.6,0.0,3.1,10.0,,,51.0,
2010-04-05,16.4,-1.3,7.6,0.0,1.7,6.7,,,51.0,
2010-04-06,18.1,0.7,9.4,0.0,2.5,13.6,,,50.0,
2010-04-07,18.6,1.5,10.0,0.0,1.9,8.6,,,43.0,
2010-04-08,17.8,-0.9,8.4,0.0,1.9,6.1,,,55.0,
2010-04-09,18.5,2.5,10.5,0.0,1.9,7.8,,,46.0,
2010-04-10,20.3,3.9,12.1,0.0,2.8,8.9,,,43.0,
2010-04-11,21.3,5.2,13.2,0.0,2.2,7.2,,,41.0,
2010-04-12,16.2,1.5,8.8,0.0,3.3,10.6,,,51.0,
2010-04-13,13.6,-2.8,5.4,0.0,3.3,9.7,,,47.0,
2010-04-14,13.4,2.3,7.8,8.8,3.1,10.0,,,57.0,
2010-04-15,14.7,5.0,9.8,33.2,2.2,7.5,,,95.0,
2010-04-16,14.7,5.6,10.2,17.2,3.1,19.2,,,87.0,
2010-04-17,16.4,6.9,11.6,0.8,2.2,10.3,,,81.0,
2010-04-18,16.5,7.5,12.0,0.4,3.6,12.5,,,78.0,
2010-04-19,18.0,5.3,11.6,0.2,1.9,7.5,,,74.0,
2010-04-20,18.0,6.7,12.4,0.6,2.5,8.1,,,64.0,
2010-04-21,14.8,5.8,10.3,21.6,2.2,14.7,,,89.0,
2010-04-22,19.3,4.6,12.0,6.6,1.1,9.4,,,73.0,
2010-04-23,18.5,6.6,12.6,0.2,3.3,8.6,,,71.0,
2010-04-24,22.0,6.5,14.2,0.0,1.7,8.3,,,68.0,
2010-04-25,22.6,9.2,15.9,0.0,2.2,6.1,,,62.0,
2010-04-26,24.9,7.0,16.0,0.0,1.9,6.1,,,61.0,
2010-04-27,26.4,8.2,17.3,0.0,2.8,6.4,,,47.0,
2010-04-28,25.2,8.8,17.0,0.0,2.5,10.0,,,52.0,
2010-04-29,22.9,8.7,15.8,0.0,4.2,12.2,,,55.0,
2010-04-30,21.1,4.0,12.6,0.0,2.5,8.6,,,65.0,
2010-05-01,21.4,6.2,13.8,0.0,3.1,8.3,,,46.0,
2010-05-02,18.2,4.5,11.4,0.0,4.7,,,,52.0,
2010-05-03,12.5,2.4,7.4,0.0,5.8,15.3,,,49.0,
2010-05-04,10.6,1.2,5.9,0.0,7.5,15.6,,,48.0,
2010-05-05,16.0,0.1,8.0,0.0,4.7,12.5,,,44.0,
2010-05-06,15.7,-1.6,7.0,0.0,2.5,7.2,,,50.0,
2010-05-07,15.6,4.6,10.1,2.8,2.5,10.8,,,63.0,
2010-05-08,15.8,6.2,11.0,6.4,2.5,13.3,,,75.0,
2010-05-09,15.4,4.9,10.2,0.2,6.9,13.6,,,63.0,
2010-05-10,10.8,0.4,5.6,0.2,2.8,9.2,,,78.0,
2010-05-11,13.6,3.3,8.4,9.4,3.1,7.5,,,76.0,
2010-05-12,10.4,4.0,7.2,18.0,0.6,6.4,,,93.0,
2010-05-13,9.8,1.6,5.7,3.8,1.7,,,,78.0,
2010-05-14,13.2,-0.4,6.4,0.0,4.2,13.9,,,73.0,
2010-05-15,15.0,1.8,8.4,0.0,4.7,11.4,,,52.0,
2010-05-16,18.2,-0.4,8.9,0.0,2.5,6.9,,,55.0,
2010-05-17,21.9,2.8,12.4,0.0,2.8,7.2,,,56.0,
2010-05-18,25.3,5.8,15.6,0.0,1.4,5.8,,,47.0,
2010-05-19,25.0,6.1,15.6,0.0,1.9,6.9,,,47.0,
2010-05-20,24.6,8.4,16.5,0.0,2.2,7.5,,,40.0,
2010-05-21,28.0,8.0,18.0,0.0,1.7,5.8,,,37.0,
2010-05-22,28.8,7.3,18.0,0.0,1.7,5.8,,,38.0,
2010-05-23,27.7,9.4,18.6,0.0,2.5,8.1,,,49.0,
2010-05-24,23.1,13.3,18.2,0.0,5.3,12.2,,,53.0,
2010-05-25,17.6,8.5,13.0,5.4,5.0,13.9,,,82.0,
2010-05-26,19.1,7.8,13.4,0.2,3.3,10.3,,,69.0,
2010-05-27,18.5,7.0,12.8,0.0,3.1,8.3,,,59.0,
2010-05-28,22.6,7.2,14.9,0.0,3.3,10.6,,,50.0,
2010-05-29,24.6,8.0,16.3,0.0,3.3,10.3,,,56.0,
2010-05-30,28.5,9.9,19.2,0.0,3.1,8.9,,,47.0,
2010-05-31,30.9,12.3,21.6,0.0,3.3,9.2,,,55.0,
2010-06-01,29.4,11.8,20.6,0.0,2.2,8.6,,,55.0,
2010-06-02,27.8,13.1,20.4,0.0,2.8,8.1,,,55.0,
2010-06-03,29.4,13.2,21.3,0.0,3.1,11.1,,,47.0,
2010-06-04,29.1,10.8,20.0,0.0,2.2,6.9,,,46.0,
2010-06-05,29.0,13.3,21.2,0.0,4.4,13.1,,,50.0,
2010-06-06,26.4,9.0,17.7,0.0,2.5,7.8,,,47.0,
2010-06-07,26.2,7.5,16.8,0.0,3.3,12.8,,,54.0,
2010-06-08,16.6,10.3,13.4,16.6,2.8,8.3,,,76.0,
2010-06-09,15.4,9.8,12.6,18.0,2.5,7.8,,,92.0,
2010-06-10,12.1,8.5,10.3,5.2,4.7,11.9,,,80.0,
2010-06-11,17.8,8.7,13.2,0.8,3.6,12.2,,,83.0,
2010-06-12,18.9,8.4,13.6,0.0,3.1,9.7,,,68.0,
2010-06-13,24.9,7.0,16.0,0.0,1.7,7.2,,,50.0,
2010-06-14,19.9,8.4,14.2,0.0,6.1,13.6,,,53.0,
2010-06-15,18.0,6.8,12.4,0.6,5.0,13.1,,,69.0,
2010-06-16,18.9,3.7,11.3,0.2,6.1,15.8,,,53.0,
2010-06-17,22.2,1.7,12.0,0.0,1.4,6.9,,,40.0,
2010-06-18,22.7,7.0,14.8,0.0,2.8,11.4,,,54.0,
2010-06-19,24.1,6.8,15.4,0.0,3.1,8.9,,,50.0,
2010-06-20,22.4,7.1,14.8,0.0,3.3,10.3,,,40.0,
2010-06-21,25.3,3.4,14.4,0.0,2.2,7.8,,,39.0,
2010-06-22,28.3,8.2,18.2,0.0,1.9,6.1,,,37.0,
2010-06-23,30.1,10.7,20.4,0.0,1.9,7.2,,,42.0,
2010-06-24,31.5,10.6,21.0,0.2,1.7,10.0,,,32.0,
2010-06-25,26.6,13.6,20.1,0.0,2.8,11.1,,,55.0,
2010-06-26,26.6,13.1,19.8,4.0,3.1,7.5,,,62.0,
2010-06-27,27.7,12.7,20.2,0.0,2.8,7.5,,,64.0,
2010-06-28,29.9,10.4,20.2,0.0,1.9,5.8,,,47.0,
2010-06-29,29.9,13.8,21.8,0.0,1.9,6.7,,,53.0,
2010-06-30,30.4,15.7,23.0,0.0,1.4,7.2,,,45.0,
2010-07-01,32.0,13.1,22.6,0.0,3.1,12.2,,,36.0,
2010-07-02,27.9,13.9,20.9,0.0,1.9,9.4,,,46.0,
2010-07-03,30.1,14.4,22.2,0.0,3.1,10.0,,,47.0,
2010-07-04,34.1,15.3,24.7,0.0,2.8,6.7,,,48.0,
2010-07-05,32.6,14.8,23.7,0.0,2.2,7.8,,,46.0,
2010-07-06,31.9,13.0,22.4,0.0,1.9,6.7,,,45.0,
2010-07-07,35.3,14.9,25.1,0.0,2.8,10.8,,,40.0,
2010-07-08,33.9,17.6,25.8,0.0,4.2,14.7,,,40.0,
2010-07-09,33.3,14.9,24.1,0.0,2.8,7.5,,,46.0,
