fint,ta,prec,hr,vv,dv,pres_nmar
2026-09-18T14:00:00+0000,20.6,0.0,71.0,3.7,357.0,
2026-09-18T15:00:00+0000,19.5,0.0,75.0,2.2,358.0,
2026-09-18T16:00:00+0000,18.7,0.0,78.0,1.4,355.0,
2026-09-18T17:00:00+0000,18.6,0.0,79.0,1.8,2.0,
2026-09-18T18:00:00+0000,17.9,0.0,81.0,1.3,339.0,
2026-09-18T19:00:00+0000,17.2,0.0,84.0,0.8,328.0,
2026-09-18T20:00:00+0000,16.6,0.0,88.0,0.6,229.0,
2026-09-18T21:00:00+0000,15.8,0.0,90.0,0.8,258.0,
2026-09-18T22:00:00+0000,14.2,0.0,94.0,0.3,204.0,
2026-09-18T23:00:00+0000,12.9,0.0,96.0,0.8,263.0,
2026-09-19T00:00:00+0000,12.0,0.0,98.0,0.6,198.0,
2026-09-19T01:00:00+0000,11.3,0.0,99.0,0.5,203.0,
2026-09-19T02:00:00+0000,10.7,0.0,99.0,1.2,148.0,
2026-09-19T03:00:00+0000,10.0,0.0,100.0,0.7,244.0,
2026-09-19T04:00:00+0000,9.5,0.0,100.0,0.2,247.0,
2026-09-19T05:00:00+0000,9.2,0.0,100.0,0.8,184.0,
2026-09-19T06:00:00+0000,8.7,0.0,100.0,0.8,238.0,
2026-09-19T07:00:00+0000,8.7,0.0,100.0,0.5,123.0,
2026-09-19T08:00:00+0000,12.4,0.0,100.0,1.3,110.0,
2026-09-19T09:00:00+0000,15.3,0.0,86.0,1.9,7.0,
2026-09-19T10:00:00+0000,18.7,0.0,76.0,1.8,6.0,
2026-09-19T11:00:00+0000,21.6,0.0,65.0,2.4,8.0,
2026-09-19T12:00:00+0000,22.9,0.0,62.0,3.6,360.0,
2026-09-19T13:00:00+0000,24.7,0.0,53.0,2.6,13.0,
