fint,ta,prec,hr,vv,dv,pres_nmar
2026-09-24T03:00:00+0000,16.4,0.0,49.0,0.7,340.0,1022.5
2026-09-24T04:00:00+0000,15.1,0.0,54.0,0.9,356.0,1023.0
2026-09-24T05:00:00+0000,14.1,0.0,58.0,0.8,333.0,1023.3
2026-09-24T06:00:00+0000,13.2,0.0,62.0,0.7,340.0,1023.9
2026-09-24T07:00:00+0000,13.8,0.0,60.0,0.8,354.0,1024.2
2026-09-24T08:00:00+0000,16.7,0.0,52.0,0.7,25.0,1023.9
2026-09-24T09:00:00+0000,19.5,0.0,44.0,0.6,42.0,1023.4
2026-09-24T10:00:00+0000,23.4,0.0,34.0,0.9,349.0,1022.3
2026-09-24T11:00:00+0000,27.0,0.0,27.0,1.2,216.0,1021.0
2026-09-24T12:00:00+0000,30.3,0.0,20.0,0.7,150.0,1019.6
2026-09-24T13:00:00+0000,31.7,0.0,15.0,1.5,103.0,1018.5
2026-09-24T14:00:00+0000,33.2,0.0,13.0,1.1,338.0,1017.6
2026-09-24T15:00:00+0000,33.8,0.0,10.0,1.5,338.0,1016.9
2026-09-24T16:00:00+0000,33.1,0.0,12.0,1.3,304.0,1016.7
2026-09-24T17:00:00+0000,31.1,0.0,12.0,1.4,341.0,1017.1
2026-09-24T18:00:00+0000,29.4,0.0,16.0,0.8,308.0,1017.7
2026-09-24T19:00:00+0000,26.4,0.0,20.0,1.3,293.0,1018.7
2026-09-24T20:00:00+0000,24.5,0.0,22.0,0.5,337.0,1019.3
2026-09-24T21:00:00+0000,23.0,0.0,27.0,0.6,339.0,1019.7
2026-09-24T22:00:00+0000,21.4,0.0,28.0,0.6,200.0,1020.2
2026-09-24T23:00:00+0000,20.1,0.0,30.0,0.7,62.0,1020.8
2026-09-25T00:00:00+0000,18.7,0.0,34.0,0.7,342.0,1021.3
2026-09-25T01:00:00+0000,18.2,0.0,34.0,0.7,145.0,1021.4
2026-09-25T02:00:00+0000,17.0,0.0,39.0,0.3,330.0,1021.5
