fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-20T23:00:00+0000,18.6,0.4,78.0,1.7,7.0,
2026-08-21T00:00:00+0000,17.7,0.0,80.0,2.9,37.0,
2026-08-21T01:00:00+0000,16.8,0.0,82.0,2.3,38.0,
2026-08-21T02:00:00+0000,16.3,0.0,84.0,1.3,24.0,
2026-08-21T03:00:00+0000,15.6,0.0,87.0,0.3,66.0,
2026-08-21T04:00:00+0000,15.0,0.0,89.0,0.9,319.0,
2026-08-21T05:00:00+0000,14.8,0.0,86.0,0.9,15.0,
2026-08-21T06:00:00+0000,14.6,0.0,86.0,0.3,77.0,
2026-08-21T07:00:00+0000,15.7,0.0,82.0,1.3,24.0,
2026-08-21T08:00:00+0000,18.0,0.0,70.0,2.1,75.0,
2026-08-21T09:00:00+0000,20.1,0.0,62.0,1.7,74.0,
2026-08-21T10:00:00+0000,21.6,0.0,57.0,1.7,58.0,
2026-08-21T11:00:00+0000,22.3,0.0,53.0,1.7,357.0,
2026-08-21T12:00:00+0000,24.4,0.0,47.0,1.3,310.0,
2026-08-21T13:00:00+0000,25.2,0.0,40.0,2.3,336.0,
2026-08-21T14:00:00+0000,26.1,0.0,37.0,2.3,257.0,
2026-08-21T15:00:00+0000,27.3,0.0,33.0,1.7,2.0,
2026-08-21T16:00:00+0000,26.9,0.0,33.0,2.0,338.0,
2026-08-21T17:00:00+0000,27.4,0.0,31.0,2.0,295.0,
2026-08-21T18:00:00+0000,26.7,0.0,31.0,2.0,339.0,
2026-08-21T19:00:00+0000,24.4,0.0,36.0,0.9,327.0,
2026-08-21T20:00:00+0000,22.1,0.0,40.0,0.6,8.0,
