fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-24T15:00:00+0000,,3.6,,1.7,88.0,
2026-08-24T16:00:00+0000,15.0,8.0,96.0,1.4,74.0,
2026-08-24T17:00:00+0000,16.6,1.8,95.0,3.1,168.0,
2026-08-24T18:00:00+0000,16.1,1.7999999999999998,96.0,3.2,185.0,
2026-08-24T19:00:00+0000,16.2,0.2,94.0,1.7,218.0,
2026-08-24T20:00:00+0000,16.1,0.0,92.0,2.9,195.0,
2026-08-24T21:00:00+0000,15.6,0.0,94.0,2.1,216.0,
2026-08-24T22:00:00+0000,15.8,0.0,92.0,1.7,283.0,
2026-08-24T23:00:00+0000,15.8,0.0,92.0,0.9,316.0,
2026-08-25T00:00:00+0000,15.7,0.0,93.0,1.9,325.0,
2026-08-25T01:00:00+0000,15.7,0.0,90.0,2.9,287.0,
2026-08-25T02:00:00+0000,15.3,0.0,89.0,1.5,306.0,
2026-08-25T03:00:00+0000,15.2,0.0,89.0,2.4,318.0,
2026-08-25T04:00:00+0000,15.0,0.0,89.0,2.0,314.0,
2026-08-25T05:00:00+0000,14.7,0.0,90.0,1.0,163.0,
2026-08-25T06:00:00+0000,14.2,0.0,94.0,1.4,81.0,
2026-08-25T07:00:00+0000,16.2,0.0,85.0,0.7,263.0,
2026-08-25T08:00:00+0000,18.8,0.0,75.0,1.1,25.0,
2026-08-25T09:00:00+0000,18.6,0.0,75.0,0.6,81.0,
2026-08-25T10:00:00+0000,,0.0,,1.8,351.0,
2026-08-25T11:00:00+0000,18.7,0.0,73.0,0.9,350.0,
2026-08-25T12:00:00+0000,19.3,0.0,69.0,1.0,88.0,
2026-08-25T13:00:00+0000,20.5,0.0,67.0,2.1,155.0,
2026-08-25T14:00:00+0000,22.6,0.0,60.0,1.3,169.0,
2026-08-25T15:00:00+0000,21.7,0.0,58.0,7.3,192.0,
