fecha,tmax,tmin,tmed,prec,velmedia,racha,presMax,presMin,hrMedia,sol
2011-01-01,8.2,4.6,6.4,0.0,0.8,4.2,,,99.0,
2011-01-02,9.0,4.9,7.0,0.2,0.6,2.8,,,96.0,
2011-01-03,11.7,-0.2,5.8,0.0,0.8,3.9,,,91.0,
2011-01-04,9.6,3.9,6.8,2.0,5.3,10.8,,,94.0,
2011-01-05,11.9,7.7,9.8,0.2,7.5,15.8,,,86.0,
2011-01-08,12.4,6.9,9.6,3.4,6.7,11.7,,,66.0,
2011-01-09,8.7,3.2,6.0,2.0,1.1,7.2,,,91.0,
2011-01-10,7.5,0.1,3.8,3.2,4.4,12.2,,,93.0,
2011-01-11,11.8,5.7,8.8,0.0,6.4,12.2,,,90.0,
2011-01-12,12.6,3.0,7.8,0.2,1.7,5.3,,,91.0,
2011-01-13,6.1,2.3,4.2,0.2,0.8,4.4,,,100.0,
2011-01-22,4.0,-7.4,-1.7,0.0,3.3,12.5,,,66.0,
2011-01-23,4.7,-5.4,-0.4,0.0,3.1,10.0,,,59.0,
2011-01-24,7.1,-7.1,0.0,0.0,2.5,6.7,,,67.0,
2011-01-25,7.7,-7.8,0.0,0.0,0.8,4.7,,,73.0,
2011-01-26,7.5,-8.6,-0.6,0.0,1.1,4.2,,,78.0,
2011-01-27,8.2,-5.9,1.2,3.8,1.9,5.0,,,76.0,
2011-01-28,7.6,-0.2,3.7,1.4,3.1,10.0,,,90.0,
2011-01-29,7.0,-0.2,3.4,0.0,2.2,8.9,,,90.0,
2011-01-30,3.7,0.0,1.8,3.4,1.7,7.8,,,99.0,
2011-01-31,3.0,-0.4,1.3,0.0,1.7,6.4,,,83.0,
2011-02-01,4.6,-2.6,1.0,0.0,1.9,6.9,,,83.0,
2011-02-02,9.1,-4.3,2.4,0.0,2.2,7.5,,,83.0,
2011-02-03,13.1,-3.9,4.6,0.0,1.9,5.0,,,83.0,
2011-02-04,16.3,-3.3,6.5,0.0,0.8,3.6,,,81.0,
2011-02-05,16.1,-3.9,6.1,0.0,,3.9,,,80.0,
2011-02-06,18.0,-3.6,7.2,0.0,0.8,2.5,,,76.0,
2011-02-07,20.2,-2.1,9.0,0.0,1.1,4.2,,,67.0,
2011-02-08,17.0,-2.8,7.1,0.0,1.4,8.1,,,62.0,
2011-02-09,17.4,-1.4,8.0,0.0,1.7,3.9,,,70.0,
2011-02-10,15.9,-2.2,6.8,0.0,0.8,4.2,,,72.0,
2011-02-11,16.7,0.3,8.5,0.0,2.5,6.4,,,69.0,
2011-02-12,13.5,-0.9,6.3,0.0,2.2,6.4,,,77.0,
