fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-05T00:00:00+0000,21.7,0.0,58.0,1.4,317.0,1017.3
2026-08-05T01:00:00+0000,19.8,0.0,66.0,0.9,345.0,1018.1
2026-08-05T02:00:00+0000,18.8,0.0,74.0,0.9,333.0,1018.4
2026-08-05T03:00:00+0000,18.2,0.0,78.0,0.9,347.0,1018.5
2026-08-05T04:00:00+0000,17.7,0.0,80.0,0.9,356.0,1018.8
2026-08-05T05:00:00+0000,17.3,0.0,81.0,0.9,348.0,1018.9
2026-08-05T06:00:00+0000,17.0,0.0,82.0,0.9,342.0,1019.3
2026-08-05T07:00:00+0000,18.8,0.0,74.0,0.8,21.0,1018.9
2026-08-05T08:00:00+0000,20.8,0.0,66.0,0.9,22.0,1018.8
2026-08-05T09:00:00+0000,22.7,0.0,59.0,1.1,16.0,1018.0
2026-08-05T10:00:00+0000,25.3,0.0,51.0,1.0,17.0,1017.1
2026-08-05T11:00:00+0000,27.9,0.0,43.0,1.3,86.0,1016.2
2026-08-05T12:00:00+0000,29.5,0.0,37.0,1.3,58.0,1015.2
2026-08-05T13:00:00+0000,31.0,0.0,33.0,1.1,147.0,1014.3
2026-08-05T14:00:00+0000,32.7,0.0,28.0,1.9,285.0,1013.6
2026-08-05T15:00:00+0000,33.2,0.0,26.0,1.3,208.0,1013.0
2026-08-05T16:00:00+0000,33.8,0.0,22.0,1.8,274.0,1012.8
2026-08-05T17:00:00+0000,33.3,0.0,22.0,1.4,290.0,1013.0
2026-08-05T18:00:00+0000,31.7,0.0,24.0,1.9,307.0,1013.3
2026-08-05T19:00:00+0000,30.3,0.0,29.0,1.6,321.0,1013.8
2026-08-05T20:00:00+0000,28.2,0.0,31.0,1.0,307.0,1015.1
2026-08-05T21:00:00+0000,26.5,0.0,42.0,1.5,1.0,1016.2
2026-08-05T22:00:00+0000,24.5,0.0,55.0,1.5,40.0,1017.1
2026-08-05T23:00:00+0000,22.3,0.0,64.0,1.1,2.0,1018.1
2026-08-06T00:00:00+0000,20.7,0.0,70.0,1.2,4.0,1018.6
