fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-06T18:00:00+0000,33.2,0.0,28.0,2.4,313.0,
2026-08-06T19:00:00+0000,31.7,0.0,27.0,2.7,353.0,
2026-08-06T20:00:00+0000,29.1,0.0,30.0,1.3,359.0,
2026-08-06T21:00:00+0000,27.8,0.0,31.0,1.5,26.0,
2026-08-06T22:00:00+0000,26.6,0.0,33.0,0.7,37.0,
2026-08-06T23:00:00+0000,23.4,0.0,46.0,3.3,101.0,
2026-08-07T00:00:00+0000,21.6,0.0,49.0,0.8,208.0,
2026-08-07T01:00:00+0000,20.5,0.0,60.0,1.4,350.0,
2026-08-07T02:00:00+0000,19.0,0.0,68.0,2.5,339.0,
2026-08-07T03:00:00+0000,17.3,0.0,74.0,1.1,328.0,
2026-08-07T04:00:00+0000,16.0,0.0,77.0,1.9,258.0,
2026-08-07T05:00:00+0000,15.2,0.0,76.0,1.6,233.0,
2026-08-07T06:00:00+0000,15.2,0.0,82.0,1.6,258.0,
2026-08-07T07:00:00+0000,18.6,0.0,72.0,0.7,138.0,
2026-08-07T08:00:00+0000,21.6,0.0,62.0,0.9,149.0,
2026-08-07T09:00:00+0000,24.0,0.0,55.0,1.4,227.0,
2026-08-07T10:00:00+0000,26.7,0.0,46.0,3.0,274.0,
2026-08-07T11:00:00+0000,29.9,0.0,37.0,2.4,284.0,
2026-08-07T12:00:00+0000,31.2,0.0,34.0,4.3,250.0,
2026-08-07T13:00:00+0000,32.4,0.0,31.0,3.6,266.0,
2026-08-07T14:00:00+0000,33.5,0.0,26.0,4.8,290.0,
2026-08-07T15:00:00+0000,34.6,0.0,27.0,4.0,296.0,
2026-08-07T16:00:00+0000,34.4,0.0,26.0,4.7,261.0,
2026-08-07T17:00:00+0000,34.4,0.0,23.0,5.4,289.0,
