fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-08T01:00:00+0000,21.7,0.0,49.0,0.5,322.0,
2026-08-08T02:00:00+0000,20.5,0.0,53.0,0.9,269.0,
2026-08-08T03:00:00+0000,19.8,0.0,55.0,1.0,194.0,
2026-08-08T04:00:00+0000,19.0,0.0,57.0,2.6,200.0,
2026-08-08T05:00:00+0000,18.9,0.0,58.0,2.2,201.0,
2026-08-08T06:00:00+0000,18.5,0.0,60.0,0.6,332.0,
2026-08-08T07:00:00+0000,20.6,0.0,56.0,0.6,79.0,
2026-08-08T08:00:00+0000,24.1,0.0,49.0,0.8,70.0,
2026-08-08T09:00:00+0000,27.5,0.0,41.0,1.1,59.0,
2026-08-08T10:00:00+0000,29.5,0.0,35.0,1.9,65.0,
2026-08-08T11:00:00+0000,31.4,0.0,32.0,2.6,110.0,
2026-08-08T12:00:00+0000,33.7,0.0,23.0,3.0,231.0,
2026-08-08T13:00:00+0000,34.4,0.0,23.0,3.2,244.0,
2026-08-08T14:00:00+0000,35.5,0.0,23.0,4.5,263.0,
2026-08-08T15:00:00+0000,35.4,0.0,22.0,5.0,254.0,
2026-08-08T16:00:00+0000,35.5,0.0,21.0,5.1,243.0,
2026-08-08T17:00:00+0000,32.6,0.0,28.0,3.5,323.0,
2026-08-08T18:00:00+0000,32.4,0.0,26.0,3.7,276.0,
2026-08-08T19:00:00+0000,32.2,0.0,25.0,3.7,242.0,
2026-08-08T20:00:00+0000,28.8,0.0,29.0,1.6,270.0,
2026-08-08T21:00:00+0000,27.3,0.0,31.0,1.9,247.0,
2026-08-08T22:00:00+0000,26.8,0.0,35.0,3.6,290.0,
2026-08-08T23:00:00+0000,24.9,0.0,45.0,1.8,311.0,
2026-08-09T00:00:00+0000,23.5,0.0,51.0,1.4,309.0,
