fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-10T19:00:00+0000,29.7,0.0,18.0,2.4,295.0,
2026-08-10T20:00:00+0000,23.8,0.0,28.0,2.7,343.0,
2026-08-10T21:00:00+0000,24.1,0.0,27.0,1.8,19.0,
2026-08-10T22:00:00+0000,20.0,0.0,38.0,0.9,201.0,
2026-08-10T23:00:00+0000,20.8,0.0,33.0,2.4,221.0,
2026-08-11T00:00:00+0000,18.9,0.0,39.0,2.4,243.0,
2026-08-11T01:00:00+0000,17.8,0.0,43.0,0.9,251.0,
2026-08-11T02:00:00+0000,16.0,0.0,46.0,0.3,156.0,
2026-08-11T03:00:00+0000,15.6,0.0,52.0,2.1,256.0,
2026-08-11T04:00:00+0000,16.0,0.0,62.0,3.3,239.0,
2026-08-11T05:00:00+0000,15.2,0.0,71.0,3.0,235.0,
2026-08-11T06:00:00+0000,16.0,0.0,74.0,2.8,240.0,
2026-08-11T07:00:00+0000,19.2,0.0,66.0,2.3,244.0,
2026-08-11T08:00:00+0000,23.9,0.0,53.0,0.6,291.0,
2026-08-11T09:00:00+0000,26.6,0.0,46.0,0.9,220.0,
2026-08-11T10:00:00+0000,29.2,0.0,37.0,1.5,272.0,
2026-08-11T11:00:00+0000,31.4,0.0,29.0,2.1,307.0,
2026-08-11T12:00:00+0000,32.8,0.0,23.0,2.3,320.0,
2026-08-11T13:00:00+0000,34.5,0.0,18.0,1.5,258.0,
2026-08-11T14:00:00+0000,34.6,0.0,17.0,3.2,190.0,
