fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-14T05:00:00+0000,17.3,0.0,71.0,2.8,2.0,
2026-08-14T06:00:00+0000,19.2,0.0,62.0,0.6,129.0,
2026-08-14T07:00:00+0000,21.1,0.0,59.0,0.9,12.0,
2026-08-14T08:00:00+0000,27.6,0.0,43.0,0.2,300.0,
2026-08-14T09:00:00+0000,27.9,0.0,44.0,2.1,151.0,
2026-08-14T10:00:00+0000,30.2,0.0,41.0,1.8,151.0,
2026-08-14T11:00:00+0000,31.2,0.0,40.0,2.1,131.0,
2026-08-14T12:00:00+0000,32.5,0.0,34.0,3.8,156.0,
2026-08-14T13:00:00+0000,33.7,0.0,32.0,3.5,145.0,
2026-08-14T14:00:00+0000,33.7,0.0,31.0,2.7,150.0,
2026-08-14T15:00:00+0000,35.3,0.0,26.0,3.0,136.0,
2026-08-14T16:00:00+0000,34.8,0.0,25.0,4.4,153.0,
2026-08-14T17:00:00+0000,33.6,0.0,26.0,2.2,101.0,
2026-08-14T18:00:00+0000,30.0,0.0,45.0,2.8,317.0,
2026-08-14T19:00:00+0000,28.4,0.0,37.0,3.6,35.0,
2026-08-14T20:00:00+0000,16.1,29.0,97.0,5.8,334.0,
2026-08-14T21:00:00+0000,17.2,0.0,87.0,2.9,7.0,
2026-08-14T22:00:00+0000,17.6,0.0,85.0,0.5,195.0,
2026-08-14T23:00:00+0000,19.4,0.0,71.0,0.7,210.0,
2026-08-15T00:00:00+0000,19.7,0.0,71.0,0.9,238.0,
2026-08-15T01:00:00+0000,18.4,0.0,76.0,1.8,333.0,
2026-08-15T02:00:00+0000,14.9,0.0,89.0,2.8,1.0,
2026-08-15T03:00:00+0000,16.8,0.0,81.0,2.3,342.0,
2026-08-15T04:00:00+0000,16.2,0.0,82.0,0.5,147.0,
2026-08-15T05:00:00+0000,16.6,0.0,77.0,1.0,335.0,
