fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-16T10:00:00+0000,30.7,0.0,44.0,,,
2026-08-16T11:00:00+0000,31.7,0.0,39.0,,,
2026-08-16T12:00:00+0000,32.3,0.0,39.0,,,
2026-08-16T13:00:00+0000,33.1,0.0,37.0,,,
2026-08-16T14:00:00+0000,34.4,0.0,36.0,,,
2026-08-16T15:00:00+0000,33.6,0.0,37.0,,,
2026-08-16T16:00:00+0000,33.6,0.0,37.0,,,
2026-08-16T17:00:00+0000,33.3,0.0,35.0,,,
2026-08-16T18:00:00+0000,32.1,0.0,40.0,,,
2026-08-16T19:00:00+0000,30.1,0.0,44.0,,,
2026-08-16T20:00:00+0000,28.7,0.0,51.0,,,
2026-08-16T21:00:00+0000,27.8,0.0,58.0,,,
2026-08-16T22:00:00+0000,26.6,0.0,64.0,,,
2026-08-16T23:00:00+0000,26.9,0.0,62.0,,,
2026-08-17T00:00:00+0000,26.4,0.0,63.0,,,
2026-08-17T01:00:00+0000,24.7,0.0,68.0,,,
2026-08-17T02:00:00+0000,23.8,0.0,72.0,,,
2026-08-17T03:00:00+0000,23.1,0.0,74.0,,,
2026-08-17T04:00:00+0000,22.6,0.0,73.0,,,
2026-08-17T05:00:00+0000,22.3,0.0,76.0,,,
2026-08-17T06:00:00+0000,21.8,0.0,80.0,,,
2026-08-17T07:00:00+0000,24.5,0.0,76.0,,,
2026-08-17T08:00:00+0000,24.8,0.0,75.0,,,
2026-08-17T09:00:00+0000,29.2,0.0,52.0,,,
